date,npa_on_the_day,npa_day_before,npa_one_week_out,npa_two_weeks_out,npa_one_month_out,npa_two_months_out
2024-12-27,0.0,0.0,1.0,1.0,4.0,
2025-01-24,10.0,11.0,17.0,0.0,0.0,0.0
2024-12-28,0.0,0.0,0.0,,2.0,
2025-01-25,0.0,0.0,8.0,,0.0,0.0
2024-12-29,0.0,0.0,1.0,0.0,5.0,
2025-01-26,16.0,20.0,27.0,29.0,0.0,0.0
2024-12-30,0.0,1.0,1.0,0.0,0.0,
2025-01-27,39.0,39.0,39.0,40.0,41.0,42.0
2025-01-28,38.0,41.0,40.0,41.0,43.0,44.0
2025-01-29,41.0,40.0,40.0,42.0,42.0,43.0
2025-01-30,40.0,40.0,39.0,,42.0,43.0
2025-01-31,35.0,35.0,36.0,37.0,0.0,0.0
2025-02-01,0.0,34.0,40.0,41.0,0.0,0.0
2025-02-02,0.0,0.0,46.0,46.0,45.0,45.0
2025-02-03,42.0,42.0,40.0,42.0,43.0,46.0
2025-02-04,46.0,39.0,38.0,41.0,43.0,46.0
2025-02-05,46.0,45.0,34.0,39.0,40.0,43.0
2025-02-06,41.0,41.0,36.0,43.0,44.0,48.0
2025-02-07,41.0,41.0,37.0,0.0,0.0,0.0
2025-02-09,41.0,41.0,43.0,43.0,44.0,47.0
2025-02-10,41.0,40.0,47.0,47.0,47.0,48.0
2025-02-11,36.0,37.0,40.0,40.0,43.0,45.0
2025-02-12,38.0,37.0,38.0,38.0,38.0,42.0
2025-02-13,34.0,34.0,36.0,37.0,,45.0
2025-02-14,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-15,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-16,27.0,27.0,29.0,38.0,41.0,42.0
2025-02-17,37.0,38.0,42.0,42.0,43.0,47.0
2025-02-18,38.0,39.0,42.0,42.0,42.0,47.0
2025-02-19,37.0,38.0,42.0,41.0,42.0,46.0
2025-02-20,34.0,35.0,39.0,38.0,41.0,45.0
2025-02-21,8.0,18.0,0.0,0.0,0.0,0.0
2025-02-22,1.0,2.0,0.0,0.0,0.0,0.0
2025-02-23,25.0,28.0,35.0,36.0,34.0,40.0
2025-02-24,35.0,34.0,41.0,40.0,39.0,44.0
2025-02-25,39.0,41.0,45.0,44.0,43.0,46.0
2025-02-26,34.0,37.0,43.0,42.0,43.0,47.0
2025-02-27,38.0,38.0,42.0,45.0,44.0,47.0
2025-02-28,24.0,26.0,36.0,0.0,0.0,0.0
2025-03-01,14.0,17.0,27.0,0.0,0.0,0.0
2025-03-02,30.0,34.0,34.0,37.0,40.0,45.0
2025-03-03,36.0,37.0,43.0,44.0,43.0,43.0
2025-03-04,36.0,36.0,37.0,41.0,41.0,42.0
2025-03-05,40.0,36.0,38.0,41.0,42.0,43.0
2025-03-06,34.0,33.0,34.0,37.0,39.0,43.0
2025-03-07,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-09,23.0,27.0,35.0,38.0,39.0,41.0
2025-03-10,31.0,31.0,38.0,38.0,37.0,40.0
2025-03-11,28.0,25.0,37.0,37.0,36.0,39.0
2025-03-12,21.0,24.0,37.0,37.0,36.0,38.0
2025-03-14,10.0,12.0,25.0,28.0,0.0,0.0
2025-03-15,7.0,6.0,19.0,29.0,0.0,0.0
2025-03-16,22.0,27.0,26.0,39.0,43.0,44.0
2025-03-17,26.0,27.0,27.0,37.0,39.0,42.0
2025-03-18,27.0,28.0,29.0,39.0,40.0,42.0
2025-03-19,15.0,16.0,17.0,23.0,25.0,29.0
2025-03-20,27.0,26.0,30.0,23.0,25.0,25.0
2025-03-21,,8.0,12.0,0.0,0.0,0.0
2025-02-08,0.0,41.0,37.0,40.0,,
2025-03-22,,,0.0,0.0,0.0,0.0
2025-03-23,,,22.0,25.0,33.0,36.0
2025-03-24,,,21.0,26.0,34.0,39.0
2025-03-25,,,21.0,25.0,33.0,38.0
2025-03-26,,,21.0,26.0,35.0,39.0
2025-03-27,,,18.0,22.0,34.0,39.0
2025-03-28,,,,0.0,0.0,0.0
2025-03-29,,,,0.0,0.0,0.0
2025-03-30,,,,18.0,27.0,34.0
2025-03-31,,,,26.0,35.0,39.0
2025-04-01,,,,31.0,38.0,39.0
2025-04-02,,,,28.0,34.0,36.0
2025-04-03,,,,24.0,33.0,36.0
2025-04-04,,,,,0.0,0.0
2025-03-08,0.0,0.0,0.0,0.0,0.0,
2025-04-05,,,,,0.0,0.0
2025-04-06,,,,,37.0,41.0
2025-04-07,,,,,38.0,44.0
2025-04-08,,,,,38.0,44.0
2025-04-09,,,,,36.0,44.0
2025-03-13,19.0,25.0,39.0,41.0,41.0,
2025-04-10,,,,,37.0,45.0
2025-04-11,,,,,0.0,0.0
2025-04-12,,,,,0.0,0.0
2025-04-13,,,,,0.0,0.0
2025-04-14,,,,,0.0,0.0
2025-04-15,,,,,0.0,0.0
2025-04-16,,,,,0.0,0.0
2025-04-17,,,,,0.0,0.0
2025-04-18,,,,,,0.0
2025-04-19,,,,,,0.0
2025-04-20,,,,,,0.0
2025-04-21,,,,,,31.0
2025-04-22,,,,,,29.0
2025-04-23,,,,,,27.0
2025-04-24,,,,,,30.0
2025-04-25,,,,,,0.0
2025-04-26,,,,,,0.0
2025-04-27,,,,,,44.0
2025-04-28,,,,,,40.0
2025-04-29,,,,,,37.0
2025-04-30,,,,,,39.0
2025-05-01,,,,,,39.0
2025-05-02,,,,,,0.0
2025-05-03,,,,,,0.0
2025-05-04,,,,,,24.0
2025-05-05,,,,,,37.0
2025-05-06,,,,,,39.0
2025-05-07,,,,,,30.0
2025-05-08,,,,,,31.0
2025-05-09,,,,,,0.0
2025-05-10,,,,,,0.0
2025-05-11,,,,,,40.0
2025-05-12,,,,,,39.0
2025-05-13,,,,,,31.0
2025-05-14,,,,,,36.0
2025-05-15,,,,,,28.0
2025-11-02,32.0,,,,,
2025-11-03,0.0,37.0,,,,
2025-11-09,30.0,30.0,32.0,,,
2025-11-16,,,39.0,39.0,,
2025-11-30,,,,,39.0,
2025-12-28,,,,,,0.0
2025-11-04,31.0,38.0,,,,
2025-11-10,0.0,38.0,39.0,,,
2025-11-17,,,0.0,39.0,,
2025-12-01,,,,,39.0,
2025-12-29,,,,,,0.0
2025-11-05,30.0,30.0,,,,
2025-11-11,23.0,0.0,31.0,,,
2025-11-18,,,32.0,32.0,,
2025-12-02,,,,,39.0,
2025-12-30,,,,,,0.0
2025-11-06,30.0,37.0,,,,
2025-11-12,0.0,32.0,32.0,,,
2025-11-19,,,32.0,32.0,,
2025-12-03,,,,,39.0,
2025-12-31,,,,,,0.0
2025-11-07,7.0,14.0,,,,
2025-11-13,,24.0,32.0,,,
2025-11-20,,,,32.0,,
2025-12-04,,,,,39.0,
2026-01-01,,,,,,0.0
2025-11-08,0.0,0.0,,,,
2025-11-14,,,0.0,,,
2025-11-21,,,,0.0,,
2025-12-05,,,,,0.0,
2026-01-02,,,,,,0.0
2025-11-15,,,0.0,,,
2025-11-22,,,,0.0,,
2025-12-06,,,,,0.0,
2026-01-03,,,,,,0.0
2025-11-23,,,,38.0,,
2025-12-07,,,,,37.0,
2026-01-04,,,,,,0.0
2025-11-24,,,,0.0,,
2025-12-08,,,,,0.0,
2026-01-05,,,,,,0.0
2025-11-25,,,,39.0,,
2025-12-09,,,,,39.0,
2026-01-06,,,,,,0.0
2025-11-26,,,,39.0,,
2025-12-10,,,,,39.0,
2026-01-07,,,,,,0.0
